UniversityID,Unknown,AOS 19th / 20th,AOS Action,AOS Aesthetics,AOS African,AOS American (incl Latin American),AOS Analytic (History of),AOS Ancient,AOS Applied Ethics (incl Bio and Medical),AOS Asian,AOS Biology (incl Environmental),AOS Cognitive Science / Psychology / Neuroscience / Linguistics,AOS Comparative,AOS Continental (incl Phenomenology),AOS Decision Theory,AOS Economics,AOS Education,AOS Epistemology,AOS Ethics,AOS Gender / Race / Sexuality / Disability Studies,AOS German (incl Kant),AOS History (General),AOS Language,AOS Law,AOS Logic,AOS Math,AOS Medieval / Renaissance,AOS Meta-Ethics,AOS Metaphilosophy (incl Experimental),AOS Metaphysics,AOS Mind,AOS Modern,AOS Physics,AOS Religion,AOS Science (General),AOS Social / Political,AOS Technology,AOS Value (General),AOS Other
2,19,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,4,0,0,0,0,0,1,3,0,9,4,0,0,0,0,2,0,0,0
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,0,1,0,0,0,0,4,6,0,0,1,0,0,0,0,1,3,23,1,1,0,11,0,1,1,2,1,0,11,9,3,1,0,0,5,0,0,0
12,20,1,0,0,0,0,0,3,2,0,0,0,0,3,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,2,1,2,0,0,0,2,0,0,0
18,36,3,0,0,0,0,1,1,1,0,1,2,0,4,0,0,0,0,4,0,1,1,1,0,0,0,2,0,0,2,0,3,0,0,1,0,0,0,0
19,34,0,1,0,0,0,2,4,1,0,0,2,0,0,0,0,0,8,6,0,1,0,4,1,1,0,0,3,0,3,8,4,0,0,2,3,0,0,0
28,11,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,3,0,0,2,1,0,0,0,2,0,0,0,1,0,4,1,0,2,4,0,0,0
34,2,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,10,15,0,0,0,4,2,0,0,0,3,0,14,7,3,0,2,1,5,0,1,0
37,11,0,0,0,0,0,0,8,1,2,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,2,5,0,1,0,4,0,0,0
38,2,15,0,1,0,1,0,14,0,0,0,1,3,28,0,0,0,2,9,1,3,0,0,2,0,0,9,0,0,3,1,8,0,2,0,13,0,1,1
41,0,2,0,3,0,4,0,1,1,0,0,0,1,4,0,0,0,2,6,3,0,1,1,2,0,0,1,0,0,0,1,1,0,1,0,14,0,0,0
48,17,0,0,0,0,0,0,3,1,0,0,7,0,0,0,0,0,1,11,0,0,0,0,3,0,0,0,0,0,2,6,0,0,0,2,2,0,0,0
58,19,0,0,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,1,3,0,1,4,0,0,0,0
63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,5,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,12,0,0,0,7,1,2,3,2,5,0,4,7,5,0,1,2,0,0,0,0
69,3,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,4,6,0,2,0,6,0,1,0,5,2,0,8,1,1,0,0,3,6,0,0,0
76,6,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,6,22,0,0,0,0,0,0,0,2,0,0,5,0,3,0,6,0,0,0,0,0
77,38,0,0,2,0,0,0,0,3,1,3,1,0,1,0,0,0,4,15,0,0,0,2,1,0,0,0,1,0,4,2,3,0,2,7,6,0,0,0
86,13,0,0,0,0,1,0,1,14,0,0,0,1,5,0,0,0,1,7,6,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,7,0,0,0
87,4,0,0,1,0,0,0,0,1,0,2,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,2,2,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
95,9,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,1,0,0
97,14,2,0,2,1,0,1,9,0,0,1,0,0,11,0,0,0,1,8,2,6,0,6,2,1,0,0,0,0,2,2,6,0,0,4,13,0,0,1
101,20,0,0,0,0,1,0,1,13,0,1,1,0,0,0,1,0,2,20,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0
102,7,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,14,2,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0
116,42,3,0,1,0,2,0,2,1,0,1,0,0,13,0,0,0,5,3,0,1,1,0,1,0,0,12,1,0,1,2,0,0,4,0,3,0,1,0
119,10,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12,7,0,0,0,1,0,0,0,0,2,0,11,7,0,0,0,0,4,0,0,0
