University Name,University ID ,African,Analytic,Ancient,Applied,Asian,Bioethics/Medical Ethics,Biology,Cognitive Science,Contemporary,Continental,Critical Theory,Early Modern,Epistemology,Ethics,Experimental Philosophy,Gender/Feminist,French,German,Historical,Interdisciplinary,Islamic,Language,Latin American,Law,Logic/Formal,Medieval,Metaphysics,Mind,Naturalist/Empirical,Non-Western,Phenomenology,Physics,Pluralist,Political,Pragmatism,Race,Religion,History and Philosophy of Science,Social Science,Aesthetics,Mathematics
Syracuse University,2,0,16,1,0,0,1,0,0,4,0,0,6,1,14,0,0,0,1,3,0,0,2,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,1,0,0,0
"University of California, Los Angeles",11,0,14,1,0,0,0,0,2,5,0,0,2,2,11,0,0,0,0,7,1,1,10,0,4,4,1,0,8,1,0,0,0,0,5,0,0,0,1,0,0,0
"University of California, Irvine",12,0,4,2,0,0,0,0,0,1,0,0,2,3,5,0,0,0,0,4,0,0,0,0,3,0,1,0,0,0,0,1,0,1,3,0,0,0,1,1,0,0
University of South Florida,18,0,1,2,1,0,1,0,0,1,6,0,7,1,3,0,3,0,2,9,0,0,1,0,0,0,2,0,0,0,0,4,0,1,0,0,0,3,3,1,0,0
University of Pittsburgh,19,0,13,2,0,0,0,0,0,3,0,0,1,4,5,0,0,0,4,5,0,0,4,0,0,1,0,1,5,0,0,0,1,0,0,1,0,0,8,0,0,0
University of Illinois at Chicago,28,0,5,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,2,0,2,0,0,0,2,0,0,0
New York University,34,0,16,0,1,0,1,0,1,4,0,0,0,12,11,0,0,0,0,1,1,0,11,0,1,6,0,11,11,0,0,0,1,1,1,0,0,0,2,1,1,2
Tulane University,37,0,1,1,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0
Boston College,38,1,0,10,0,0,0,0,0,2,17,5,1,0,2,0,1,4,5,8,0,0,0,0,0,0,8,0,0,0,0,12,0,0,0,0,1,5,1,0,2,0
Vanderbilt University,41,0,1,0,1,0,0,0,0,2,7,4,1,0,4,0,4,1,3,5,0,0,0,0,0,0,1,0,0,0,0,2,0,8,7,4,4,0,0,0,1,0
Washington University in St. Louis,48,0,6,1,1,0,2,0,7,1,0,0,0,1,5,2,0,0,0,2,5,0,0,0,1,0,0,0,5,3,0,0,0,0,2,0,0,0,1,0,0,0
University of South Carolina,58,0,2,1,1,0,1,1,0,0,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
NA,64,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ohio State University,68,0,9,0,0,0,0,0,1,3,0,0,7,3,6,0,0,0,0,0,0,0,2,0,0,8,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,6
Cornell University,69,0,8,6,0,0,0,0,1,2,0,0,1,2,2,0,0,0,1,3,1,0,1,0,1,3,2,4,6,3,0,0,0,0,2,0,0,0,2,0,1,0
Baylor University,76,0,12,1,0,0,0,0,0,2,0,0,2,9,7,0,0,0,0,7,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,0,0,12,0,0,0,0
University of Wisconsin-Madison,77,0,9,0,1,0,0,4,1,1,0,0,2,4,6,0,0,0,0,0,1,0,1,0,0,3,0,1,4,1,0,0,0,0,0,0,0,0,9,2,1,0
Michigan State University,86,0,1,0,7,0,6,0,0,0,1,1,0,0,4,0,8,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,0,0,1,1,0,0
University of Cincinnati,87,0,1,0,1,0,1,3,6,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,3,4,0,0,0,1,0,0,1,0,4,1,0,0
University of Washington,95,0,7,1,6,0,6,0,1,1,0,0,0,3,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,7,0,0,0
Northwestern University,97,1,7,5,0,0,0,0,0,0,7,8,0,9,2,0,0,2,5,1,0,0,2,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,2,0,0,0
Bowling Green State University,101,0,4,0,7,0,4,0,0,2,1,0,0,0,7,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0
University of Rochester,102,0,8,0,0,0,0,0,1,2,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fordham University,116,0,6,3,0,1,0,0,0,2,15,1,0,5,3,0,1,3,2,11,0,0,0,0,0,0,13,0,0,0,0,10,0,5,0,2,0,4,0,0,0,0
Brown University,119,0,7,1,0,0,0,0,0,1,1,0,0,2,5,0,0,0,1,2,0,0,0,0,0,1,0,1,4,2,0,0,0,0,4,0,0,0,0,0,0,0
